date,traffic,referrer,agent_type,agent_type_plus,destination,requests,median_ttfb,upper95_ttfb,upper99_ttfb,total_ttfb
2017-06-17,internal,none,user,user,SPARQL endpoint,2,0.365079,0.6488508,0.67407496,1.04546
2017-07-25,external,external (search engine),user,user,SPARQL endpoint,2168,0.105805,0.13452579999999997,0.2650383600000049,184.71240899999992
2017-08-17,external,external,spider,bot,homepage,4,0.000652,0.07300299999999998,0.0874582,0.092992
2017-08-22,external,none,user,user,homepage,2204,0.000366,0.08649079999999999,0.09247468000000003,32.12949699999999
2017-10-05,external,external,spider,bot,homepage,5,0.00011899999999999999,0.00044824999999999997,0.00048485,0.001135
2017-10-25,external,unknown,user,user,SPARQL endpoint,34320,0.1003740462585034,0.185051,0.29997340000000156,3354.3550030000015
2017-10-28,external,none,user,user,homepage,1166,0.000392,0.0878083,0.10147443999999989,21.42389799999999
2017-05-05,external,none,spider,bot,homepage,418,0.000653,0.08377319999999996,0.08667668,6.623471999999999
2017-06-20,external,external,spider,bot,SPARQL endpoint,1,1.835244,1.835244,1.835244,1.835244
2017-07-16,external,internal,spider,bot,SPARQL endpoint,1,0.100891,0.100891,0.100891,0.100891
2017-08-29,external,none,user,bot,homepage,5,0.000226,0.0863925,0.08641209999999999,0.173284
2017-09-24,internal,none,user,user,SPARQL endpoint,2,0.651616,1.2641712999999999,1.31862066,1.983849
2017-11-12,internal,none,user,user,SPARQL endpoint,753,0.036395,0.5166135000000003,5.094451100000005,318.362288
2017-04-25,external,internal,user,user,homepage,391,0.0761385,0.12184215,0.12254069,25.638912000000005
2017-06-07,internal,none,spider,bot,SPARQL endpoint,1051529,0.017636674579026162,0.08773625664743524,1.3468045275999976,80842.62476299996
2017-08-12,external,none,spider,bot,homepage,7541,9.8e-05,0.0008939499999999999,0.001821520000000004,3.541728999999999
2017-10-18,external,none,spider,bot,homepage,328,0.000194,0.0017941999999999995,0.06236635999999755,0.49126099999999995
2017-06-15,external,external,user,user,LDF endpoint,1,0.068349,0.068349,0.068349,0.068349
2017-08-08,external,internal,user,user,SPARQL endpoint,30026,0.09939999999999999,0.34904659999999926,5.814970539999928,10034.951217999997
2017-09-14,internal,none,spider,bot,SPARQL endpoint,1139177,0.02068915087426849,0.16905913232470055,1.9821596946913564,127838.1653319999
2017-11-02,internal,none,spider,bot,SPARQL endpoint,1238934,0.019890873336621585,0.16929042679221076,2.140782478749995,160272.19462799997
2017-04-24,external,external,user,user,SPARQL endpoint,3136,0.106984,1.0935639999999962,15.22210719999992,1999.4971059999996
2017-09-01,external,unknown,user,user,SPARQL endpoint,18235,0.10160307407407407,0.18299225,0.43561460000000124,13231.076724999999
2017-09-04,external,none,user,user,homepage,2043,0.0003365,0.08705615,0.09302545999999999,31.899485000000002
2017-09-19,external,unknown,user,user,SPARQL endpoint,19857,0.10088766666666667,0.18433075,0.3956614300000001,2443.8021670000003
2017-09-28,external,external,user,user,homepage,121,0.0003065,0.08868355,0.10338665999999996,2.4522829999999995
2017-10-22,internal,internal,user,user,SPARQL endpoint,1,0.016362,0.016362,0.016362,0.016362
2017-10-31,external,none,spider,bot,LDF endpoint,402915,8.950544830206533e-05,0.12176675637755102,0.21303128437499977,5764.84599000009
2017-10-31,external,unknown,user,user,homepage,3,0.0003155,0.07252614999999997,0.08271402999999998,0.08589200000000001
2017-11-07,external,unknown,user,user,SPARQL endpoint,16178,0.10106533333333334,0.1953294,0.34156311999999983,1938.8368279999997
2017-05-01,external,external (search engine),user,user,SPARQL endpoint,11021,0.15933399999999998,0.20115419999999995,0.3137695599999986,1763.2703949999996
2017-05-19,external,external (search engine),user,user,SPARQL endpoint,4728,0.120042,0.16851379999999996,0.25718856000000007,551.4142229999999
2017-07-22,external,internal,spider,bot,homepage,11,0.000754,0.13113294999999994,0.16255379000000003,0.4512280000000001
2017-07-31,external,external,user,user,SPARQL endpoint,3968,0.106218,0.9106877999999992,7.18636568000005,1565.388286
2017-08-27,external,internal,user,user,SPARQL endpoint,25756,0.09989312653061223,0.5072111999999952,10.024040839999698,16816.569972999998
2017-07-14,external,none,user,bot,SPARQL endpoint,24630,0.0426005,0.2659225,2.4045855,6004.204991000002
2017-07-18,internal,none,user,user,SPARQL endpoint,2,0.368294,0.4370594,0.44317187999999996,0.812994
2017-08-26,external,external (search engine),user,user,SPARQL endpoint,1873,0.1072575,0.14607054999999988,0.2955016799999998,185.61691000000002
2017-09-18,external,external,spider,bot,homepage,16,0.000285,0.08535,0.0853724,0.260393
2017-10-14,external,external (search engine),user,user,SPARQL endpoint,2185,0.108953,0.30429475,1.27541725,316.1659099999999
2017-11-06,external,external,spider,bot,homepage,5,0.000362,0.00081825,0.00083325,0.002416
2017-07-21,external,external,spider,bot,SPARQL endpoint,47,0.0007830000000000001,0.1045757,0.10893177000000001,2.208723
2017-08-17,external,internal,spider,bot,SPARQL endpoint,57861,0.000108,0.00087,0.00097,22.45492099999997
2017-09-20,internal,none,spider,bot,homepage,2,0.00085,0.0050782,0.00545404,0.006398
2017-04-27,external,none,spider,bot,SPARQL endpoint,1509686,0.030835304892795318,0.14497420306841777,0.41623223309523355,110998.16246100035
2017-04-30,external,external,user,user,homepage,144,0.001008,0.1216984,0.121888,7.6555620000000015
2017-05-26,external,internal,user,user,homepage,423,0.085589,0.088186,0.16505558999999964,25.755443999999994
2017-07-08,internal,none,spider,bot,SPARQL endpoint,1057013,0.020144749523926357,0.12096982441457121,1.4714117887499996,95785.77154799998
2017-11-13,external,none,spider,bot,LDF endpoint,404179,9.120867464031154e-05,0.10860160154320984,0.21289566800000065,5411.106623000079
2017-09-09,external,internal,user,user,SPARQL endpoint,27738,0.10222649015089162,1.493895399999996,10.620866879999946,16540.449919000013
2017-10-21,external,internal,user,user,homepage,458,0.000754,0.0898078,0.10529106,11.251208000000002
2017-05-01,external,none,user,user,SPARQL endpoint,16229,0.10595816666666666,0.33890069999999983,1.1430092699999999,2909.812607000001
2017-05-16,external,internal,spider,bot,homepage,18,0.086169,0.0865039,0.08663278,1.37014
2017-05-25,external,external,user,user,SPARQL endpoint,4694,0.110914,0.49262160000000005,5.301865360000056,1613.1270820000004
2017-05-08,external,none,user,bot,SPARQL endpoint,85761,0.018135539986347406,0.12546404999999997,0.23077176999999993,5313.628939000001
2017-08-23,external,internal,spider,bot,homepage,4,0.000208,0.07582599999999999,0.0909348,0.095408
2017-09-28,external,internal,user,user,SPARQL endpoint,35823,0.10031534706323887,0.9774343999999981,9.801484529999861,18035.236542
2017-10-11,external,internal,spider,bot,homepage,7,0.0004890000000000001,0.11013894999999992,0.15723018999999994,0.171977
2017-10-20,external,external,user,user,SPARQL endpoint,15217,0.000582,2.143528999999997,15.312513689999998,9274.493446000002
2017-10-29,external,internal,spider,bot,homepage,6,0.000111,0.06361639999999993,0.08516167999999996,0.092173
2017-08-15,external,none,user,bot,SPARQL endpoint,50466,0.12714186617369064,9.796455099999998,19.09041457999991,69215.37200700001
2017-09-27,external,external (search engine),user,user,SPARQL endpoint,1965,0.0571015,0.295523,0.4745276999999996,200.46157000000002
2017-10-03,external,none,user,bot,SPARQL endpoint,306194,0.01869547453912066,0.14246057040816323,0.35372673333333327,19095.733419999986
