ts,traffic,destination,median,percentile99,maximum
2017-10-01T00:00:00Z,external,/bigdata/ldf,11,139,145
2017-10-01T00:00:00Z,external,/sparql,19,56,87
2017-10-01T00:00:00Z,internal,/sparql,25,59,71
2017-10-01T01:00:00Z,external,/bigdata/ldf,10,138,139
2017-10-01T01:00:00Z,external,/sparql,36,249,265
2017-10-01T01:00:00Z,internal,/sparql,22,46,54
2017-10-01T02:00:00Z,external,/bigdata/ldf,11,145,145
2017-10-01T02:00:00Z,external,/sparql,7,23,37
2017-10-01T02:00:00Z,internal,/sparql,19,49,63
2017-10-01T03:00:00Z,external,/bigdata/ldf,10,140,141
2017-10-01T03:00:00Z,external,/sparql,16,36,60
2017-10-01T03:00:00Z,internal,/sparql,23,51,62
2017-10-01T04:00:00Z,external,/bigdata/ldf,10,150,151
2017-10-01T04:00:00Z,external,/sparql,5,22,45
2017-10-01T04:00:00Z,internal,/sparql,32,66,74
2017-10-01T05:00:00Z,external,/bigdata/ldf,11,145,146
2017-10-01T05:00:00Z,external,/sparql,5,23,56
2017-10-01T05:00:00Z,internal,/sparql,24,54,67
2017-10-01T06:00:00Z,external,/bigdata/ldf,11,140,140
2017-10-01T06:00:00Z,external,/sparql,7,31,54
2017-10-01T06:00:00Z,internal,/sparql,21,49,58
2017-10-01T07:00:00Z,external,/bigdata/ldf,12,84,91
2017-10-01T07:00:00Z,external,/sparql,18,44,59
2017-10-01T07:00:00Z,internal,/sparql,23,54,71
2017-10-01T08:00:00Z,external,/bigdata/ldf,13,138,140
2017-10-01T08:00:00Z,external,/sparql,12,43,66
2017-10-01T08:00:00Z,internal,/sparql,22,52,62
2017-10-01T09:00:00Z,external,/bigdata/ldf,11,145,145
2017-10-01T09:00:00Z,external,/sparql,5,28,50
2017-10-01T09:00:00Z,internal,/sparql,20,49,63
2017-10-01T10:00:00Z,external,/bigdata/ldf,10,145,147
2017-10-01T10:00:00Z,external,/sparql,5,28,54
2017-10-01T10:00:00Z,internal,/sparql,23,52,67
2017-10-01T11:00:00Z,external,/bigdata/ldf,16,132,136
2017-10-01T11:00:00Z,external,/sparql,5,25,54
2017-10-01T11:00:00Z,internal,/sparql,22,50,64
2017-10-01T12:00:00Z,external,/bigdata/ldf,13,141,148
2017-10-01T12:00:00Z,external,/sparql,5,30,49
2017-10-01T12:00:00Z,internal,/sparql,24,54,71
2017-10-01T13:00:00Z,external,/bigdata/ldf,12,141,142
2017-10-01T13:00:00Z,external,/sparql,5,27,48
2017-10-01T13:00:00Z,internal,/sparql,20,48,62
2017-10-01T14:00:00Z,external,/bigdata/ldf,12,150,150
2017-10-01T14:00:00Z,external,/sparql,6,31,62
2017-10-01T14:00:00Z,internal,/sparql,20,52,69
2017-10-01T15:00:00Z,external,/bigdata/ldf,11,139,141
2017-10-01T15:00:00Z,external,/sparql,12,33,48
2017-10-01T15:00:00Z,internal,/sparql,19,50,66
2017-10-01T16:00:00Z,external,/bigdata/ldf,10,144,147
2017-10-01T16:00:00Z,external,/sparql,5,24,59
2017-10-01T16:00:00Z,internal,/sparql,21,42,55
2017-10-01T17:00:00Z,external,/bigdata/ldf,11,144,145
